passenger_id,full_name,age,gender,nationality,marital_status,occupation,class,ticket_number,ticket_price,cabin_deck,embarkation_port,travel_purpose,journey_duration_days,siblings_spouses,parents_children,family_size,is_alone,family_survival_rate,boarding_position,lifeboat_access,medical_condition,mobility_score,emergency_response_time,evacuation_priority,wealth_index,age_group,fare_per_person,family_risk_score,survival_probability,survived
T2-021421,Mary Chen,30.5,Female,UK,Married,Engineering,2,553211,388.0,D,Cherbourg,Leisure,9,0,0,1,1,0.07,612,0.58,Unknown,87.2,21.5,High,0.8,Adult,388.0,0.49,0.3856,0
T2-021422,Elena Anderson,27.9,Female,Brazil,Married,Military,2,736172,432.89,Unknown,Queenstown,Business,5,0,0,1,1,0.97,421,0.46,Unknown,75.4,38.5,High,0.91,Adult,432.89,0.58,0.7777,1
T2-021423,Joseph Ivanov,43.2,Female,UK,Single,Military,3,328205,138.54,G,Southampton,Family Visit,6,0,0,1,1,0.35,390,0.17,Unknown,73.2,23.4,High,0.29,Middle_Aged,138.54,0.81,0.1039,0
T2-021424,Wei Hernandez,32.8,Female,UK,Single,Education,1,728848,907.06,Unknown,Cherbourg,Relocation,8,0,0,1,1,0.02,751,0.51,Unknown,80.4,22.9,High,2.61,Adult,907.06,0.54,0.3952,0
T2-021425,Richard Garcia,85.0,Non-Binary,France,Married,Tourism,3,410933,149.07,E,Southampton,Business,12,0,0,1,1,0.91,866,0.51,Unknown,69.4,48.6,Low,0.49,Senior,149.07,0.54,0.0266,0
T2-021426,Michael Müller,74.0,Female,USA,Married,Tech,3,644990,119.63,E,Southampton,Leisure,6,0,0,1,1,0.56,530,0.49,Unknown,70.0,46.1,High,0.68,Senior,119.63,0.56,0.1036,0
T2-021427,William Anderson,39.4,Male,Germany,Married,Education,3,185988,123.65,G,New York,Relocation,6,1,1,3,0,0.42,447,0.14,Unknown,78.7,26.3,Low,0.11,Middle_Aged,41.22,1.14,0.1223,0
T2-021428,Barbara Gonzalez,23.7,Female,China,Single,Military,3,392530,165.47,G,Queenstown,Leisure,13,1,1,3,0,0.27,373,0.04,Unknown,92.4,29.5,High,0.07,Adult,55.16,1.22,0.2444,0
T2-021429,John Müller,17.0,Female,Germany,Single,Student,2,129282,443.24,Unknown,Cherbourg,Relocation,12,1,0,2,0,0.04,331,0.56,Unknown,90.8,59.8,High,1.25,Teen,221.62,0.65,0.1224,0
T2-021430,Lars Smith,19.3,Male,UK,Married,Engineering,2,508710,340.92,C,Queenstown,Relocation,3,1,1,3,0,0.21,478,0.66,Unknown,89.5,7.4,Low,0.42,Adult,113.64,0.72,0.1116,0
T2-021431,Fatima Martinez,46.6,Female,USA,Divorced,Tourism,1,491779,2204.33,B,Southampton,Leisure,3,0,1,2,0,0.7,815,0.79,Unknown,77.1,14.2,High,6.48,Middle_Aged,1102.16,0.47,0.756,0
T2-021432,Joseph O'Connor,27.1,Male,UK,Widowed,Tourism,3,615071,50.6,Unknown,Queenstown,Leisure,9,0,0,1,1,0.14,903,0.02,Mild Chronic,77.3,23.0,Low,-0.1,Adult,50.6,0.93,0.1183,0
T2-021433,Michael Hernandez,37.1,Male,Germany,Married,Student,2,188152,541.04,C,Southampton,Leisure,12,1,0,2,0,0.03,772,0.86,Unknown,81.8,21.8,Low,1.32,Middle_Aged,270.52,0.41,0.4127,1
T2-021434,Lars Lopez,26.3,Male,India,Single,Tourism,3,913315,132.69,E,New York,Relocation,10,0,0,1,1,0.01,815,0.46,Unknown,90.5,31.7,Low,0.06,Adult,132.69,0.58,0.1624,0
T2-021435,James Wilson,42.9,Female,UK,Married,Unknown,3,645407,159.63,G,New York,Relocation,11,1,2,4,0,0.99,469,0.13,Unknown,73.0,13.7,High,-0.1,Middle_Aged,39.91,1.3,0.1261,0
T2-021436,Susan Chen,41.8,Male,UK,Married,Education,3,145195,173.05,G,Queenstown,Leisure,13,0,1,2,0,0.23,41,0.26,Unknown,80.4,8.4,Low,0.37,Middle_Aged,86.52,0.89,0.0768,0
T2-021437,Sofia Miller,37.5,Male,China,Married,Laborer,3,427432,187.32,Unknown,Southampton,Relocation,11,0,1,2,0,0.42,607,0.14,Unknown,85.9,21.3,Low,0.02,Middle_Aged,93.66,0.99,0.0789,0
T2-021438,Jessica Sato,18.1,Female,France,Single,Military,3,511177,184.24,Unknown,Queenstown,Leisure,5,5,0,6,0,0.8,157,0.3,Unknown,100.0,26.3,High,0.13,Adult,30.71,1.46,0.3157,0
T2-021439,Elizabeth Brown,15.9,Female,Germany,Single,Student,2,390402,635.16,D,Southampton,Leisure,3,1,1,3,0,0.1,966,0.48,Mild Chronic,88.5,28.2,High,1.48,Teen,211.72,0.87,0.3351,0
T2-021440,James Chen,14.5,Female,UK,Single,Student,3,678759,86.93,F,Queenstown,Business,9,1,1,3,0,0.68,460,0.3,Unknown,100.0,4.5,High,0.43,Teen,28.98,1.01,0.4625,1
T2-021441,Robert Müller,28.3,Female,Germany,Married,Tourism,2,266391,431.04,D,Southampton,Business,5,0,0,1,1,0.73,120,0.52,Mild Chronic,76.2,36.4,High,0.8,Adult,431.04,0.53,0.4841,1
T2-021442,John Williams,21.1,Female,France,Single,Laborer,3,851565,182.91,F,Cherbourg,Business,3,2,2,5,0,0.25,212,0.25,Unknown,89.2,21.7,High,0.15,Adult,36.58,1.35,0.1209,0
T2-021443,Wei Rodriguez,14.9,Male,Brazil,Single,Student,2,910115,478.24,Unknown,Southampton,Family Visit,3,0,1,2,0,0.41,812,0.44,Unknown,90.5,32.8,Low,0.94,Teen,239.12,0.75,0.1615,0
T2-021444,Aarav Patel,44.1,Male,Japan,Single,Tourism,3,555820,175.09,F,Cherbourg,Relocation,13,0,1,2,0,0.18,198,0.43,Asthma,49.0,44.6,Low,0.09,Middle_Aged,87.54,0.76,0.0349,0
T2-021445,Yuki Brown,17.3,Male,Canada,Single,Student,3,856725,33.01,F,Cherbourg,Leisure,4,0,0,1,1,0.51,900,0.26,Unknown,89.2,44.6,Low,-0.09,Teen,33.01,0.74,0.0889,0
T2-021446,Sofia Rodriguez,38.1,Female,China,Single,Education,3,994428,73.59,F,Cherbourg,Relocation,9,0,1,2,0,0.49,579,0.42,Unknown,74.7,12.8,High,0.1,Middle_Aged,36.8,0.76,0.4533,1
T2-021447,Fatima Wilson,39.5,Female,USA,Married,Education,3,101998,218.0,E,Southampton,Leisure,5,1,0,2,0,0.7,811,0.63,Unknown,77.1,10.5,High,0.17,Middle_Aged,109.0,0.6,0.2849,0
T2-021448,Fatima Lopez,80.2,Male,UK,Married,Military,2,240846,410.59,C,Queenstown,Leisure,6,0,0,1,1,0.08,732,0.56,Asthma,44.3,66.4,Low,0.73,Senior,410.59,0.5,0.029,0
T2-021449,Aarav Müller,14.4,Male,Germany,Single,Student,2,296847,550.45,D,Southampton,Business,3,0,1,2,0,0.51,607,0.47,Unknown,83.2,9.5,Low,1.36,Teen,275.23,0.72,0.4158,0
T2-021450,Jessica Sato,24.0,Male,China,Single,Healthcare,3,626992,224.19,E,Cherbourg,Family Visit,4,0,1,2,0,0.22,511,0.41,Unknown,81.9,31.1,Low,-0.05,Adult,112.1,0.77,0.0916,0
T2-021451,Mary Hernandez,41.9,Male,Canada,Married,Healthcare,3,136246,180.67,E,Southampton,Relocation,7,0,0,1,1,0.56,44,0.37,Asthma,52.6,20.6,Low,0.01,Middle_Aged,180.67,0.65,0.0876,0
T2-021452,Joseph Brown,19.1,Female,France,Divorced,Student,3,669528,106.09,E,Cherbourg,Family Visit,11,1,0,2,0,0.22,998,0.43,Mild Chronic,93.6,40.7,High,-0.26,Adult,53.04,0.76,0.2517,0
T2-021453,Richard Gonzalez,41.5,Male,China,Married,Military,2,487397,424.24,Unknown,Cherbourg,Family Visit,11,1,1,3,0,0.6,494,0.68,Unknown,65.6,2.4,Low,0.97,Middle_Aged,141.41,0.71,0.2055,1
T2-021454,Richard Wilson,43.0,Female,France,Single,Business,2,400451,325.34,D,Southampton,Relocation,3,1,0,2,0,0.76,502,0.46,Unknown,71.1,16.1,High,0.79,Middle_Aged,162.67,0.73,0.2998,0
T2-021455,Jessica Martinez,26.1,Female,Australia,Married,Healthcare,3,453769,250.5,F,Cherbourg,Leisure,7,0,2,3,0,0.02,815,0.38,Unknown,93.2,8.1,High,0.43,Adult,83.5,0.95,0.2649,0
T2-021456,Linda Chen,31.2,Female,France,Single,Tech,3,572494,153.6,E,New York,Relocation,7,1,2,4,0,0.82,936,0.42,Mild Chronic,71.8,17.9,High,-0.1,Adult,38.4,1.06,0.522,1
T2-021457,David Silva,36.6,Female,China,Married,Engineering,3,909703,69.01,Unknown,Southampton,Family Visit,11,1,0,2,0,0.11,530,0.23,Mild Chronic,62.7,17.2,High,0.13,Middle_Aged,34.51,0.92,0.3477,0
T2-021458,Linda Silva,22.9,Female,Japan,Married,Business,3,277195,41.09,G,Southampton,Relocation,5,1,0,2,0,0.01,535,0.0,Unknown,85.9,7.8,High,0.37,Adult,20.54,1.1,0.2111,1
T2-021459,Fatima Garcia,21.2,Female,France,Married,Education,1,223454,1229.83,A,Cherbourg,Business,3,1,0,2,0,0.43,330,0.82,Unknown,81.8,57.6,High,4.01,Adult,614.92,0.44,0.3618,1
T2-021460,Elizabeth Lopez,50.2,Male,USA,Married,Tech,3,856337,148.59,E,Southampton,Leisure,11,0,0,1,1,0.5,29,0.47,Unknown,67.0,4.3,Low,-0.08,Middle_Aged,148.59,0.57,0.1954,0
T2-021461,Lars Chen,25.2,Non-Binary,USA,Married,Student,2,664663,418.46,D,New York,Business,5,0,0,1,1,0.23,894,0.51,Mild Chronic,73.8,8.8,Low,0.9,Adult,418.46,0.54,0.1632,0
T2-021462,James Davis,16.6,Female,USA,Single,Student,3,334696,94.76,Unknown,Southampton,Business,5,1,1,3,0,0.33,259,0.22,Unknown,78.7,14.3,High,0.06,Teen,31.59,1.07,0.2035,0
T2-021463,Barbara Williams,15.4,Female,Germany,Single,Student,1,384282,987.62,D,Cherbourg,Relocation,8,2,0,3,0,0.18,265,0.42,Unknown,95.2,18.6,High,3.0,Teen,329.21,0.91,0.5768,0
T2-021464,William Anderson,19.0,Female,Canada,Married,Military,3,707454,153.29,E,Southampton,Business,5,1,1,3,0,0.2,934,0.45,Unknown,100.0,32.3,High,0.21,Adult,51.1,0.89,0.4961,0
T2-021465,Robert Kim,57.5,Female,UK,Single,Engineering,2,538442,517.86,D,Cherbourg,Relocation,13,0,0,1,1,0.08,856,0.71,Mild Chronic,53.6,15.6,High,1.51,Middle_Aged,517.86,0.38,0.2244,0
T2-021466,William Davis,44.1,Male,Brazil,Married,Unknown,2,228709,427.51,C,New York,Family Visit,9,0,0,1,1,0.55,933,0.8,Unknown,81.3,11.2,Low,0.86,Middle_Aged,427.51,0.31,0.3717,0
T2-021467,Jessica Rodriguez,29.1,Female,USA,Married,Tourism,2,302740,210.68,E,Southampton,Leisure,4,0,0,1,1,0.63,593,0.52,Unknown,75.3,2.8,High,-0.08,Adult,210.68,0.53,0.8007,1
T2-021468,Aarav Ali,22.4,Male,China,Single,Laborer,1,821929,1197.89,B,Southampton,Leisure,13,0,0,1,1,0.34,918,0.73,Unknown,96.2,16.4,Medium,3.7,Adult,1197.89,0.37,0.2328,0
T2-021469,Linda Silva,14.3,Male,France,Single,Student,2,231566,455.1,E,Southampton,Relocation,4,0,1,2,0,0.12,933,0.45,Unknown,99.8,33.0,Low,1.08,Teen,227.55,0.74,0.1429,0
T2-021470,Lars Ali,51.6,Male,Canada,Widowed,Business,3,832970,134.64,G,New York,Business,7,0,0,1,1,0.13,461,0.09,Unknown,70.8,6.2,Low,0.61,Middle_Aged,134.64,0.88,0.0314,0
T2-021471,David Lopez,25.2,Male,Canada,Single,Laborer,3,116569,150.23,G,Southampton,Leisure,11,0,0,1,1,0.47,961,0.19,Unknown,94.5,47.3,Low,0.36,Adult,150.23,0.8,0.0462,0
T2-021472,Mateo Anderson,83.8,Male,Australia,Married,Unknown,1,609202,1412.52,C,Southampton,Business,8,0,2,3,0,0.68,397,0.72,Unknown,49.8,14.9,Medium,4.34,Senior,470.84,0.67,0.2904,0
T2-021473,Sofia Lopez,19.5,Male,UK,Single,Tourism,3,893992,201.72,F,Southampton,Business,6,1,3,5,0,0.01,90,0.18,Unknown,91.8,29.1,Low,-0.0,Adult,40.34,1.41,0.0495,0
T2-021474,Patricia Anderson,27.3,Male,India,Divorced,Unknown,1,194043,986.35,B,Southampton,Business,9,1,2,4,0,0.02,759,0.81,Mild Chronic,83.9,36.8,Medium,2.63,Adult,246.59,0.75,0.1629,0
T2-021475,Mateo Kim,14.8,Male,Brazil,Single,Student,3,640361,267.65,F,Southampton,Business,6,0,2,3,0,0.05,925,0.37,Asthma,78.8,25.7,Low,0.09,Teen,89.22,0.95,0.1198,0
T2-021476,Elizabeth Williams,6.6,Male,Germany,Single,Student,3,997387,145.35,G,Cherbourg,Leisure,6,0,0,1,1,0.33,503,0.14,Unknown,98.2,22.5,High,-0.19,Child,145.35,0.84,0.3438,0
T2-021477,Elena Kim,57.2,Female,UK,Widowed,Tourism,3,315890,74.5,E,Southampton,Leisure,9,0,0,1,1,0.31,631,0.3,Unknown,77.2,45.7,High,0.06,Middle_Aged,74.5,0.71,0.0603,0
T2-021478,Richard Davis,11.0,Male,USA,Single,Student,3,862254,191.6,F,New York,Business,6,1,0,2,0,0.25,365,0.15,Unknown,97.0,13.7,High,0.34,Child,95.8,0.98,0.3566,1
T2-021479,Mateo Kim,25.8,Male,USA,Married,Military,3,904953,204.48,F,Cherbourg,Business,8,0,0,1,1,0.3,647,0.35,Asthma,75.8,19.6,Low,0.34,Adult,204.48,0.67,0.1327,0
T2-021480,Susan Martinez,24.6,Female,USA,Single,Laborer,2,247593,342.43,E,Southampton,Family Visit,3,0,0,1,1,0.3,741,0.48,Unknown,86.2,14.9,High,0.7,Adult,342.43,0.57,0.4061,1
T2-021481,Yuki Miller,13.9,Male,Japan,Single,Student,3,331408,84.6,F,Southampton,Relocation,11,0,1,2,0,0.38,326,0.23,Unknown,93.3,22.8,Low,-0.05,Teen,42.3,0.92,0.0473,0
T2-021482,Mary Johnson,40.7,Female,China,Married,Student,3,247297,62.38,F,Cherbourg,Business,9,0,2,3,0,0.82,555,0.26,Unknown,77.1,25.8,High,0.05,Middle_Aged,20.79,1.04,0.156,0
T2-021483,Patricia Kim,32.8,Female,UK,Single,Healthcare,2,405731,397.88,D,New York,Leisure,7,0,0,1,1,0.28,848,0.72,Unknown,81.9,21.3,High,0.65,Adult,397.88,0.37,0.332,1
T2-021484,Michael Martinez,62.6,Male,Canada,Divorced,Tourism,3,242664,25.0,F,Southampton,Business,3,0,1,2,0,0.46,193,0.15,Unknown,68.1,30.7,Low,-0.29,Senior,12.5,0.98,0.1005,0
T2-021485,Sofia Müller,24.8,Male,France,Single,Student,3,128830,147.56,F,Southampton,Leisure,12,1,1,3,0,0.71,91,0.17,Unknown,84.4,13.7,Low,-0.16,Adult,49.19,1.11,0.3118,1
T2-021486,Wei Williams,7.2,Male,UK,Single,Student,3,268536,57.67,F,Cherbourg,Leisure,12,0,0,1,1,0.32,219,0.43,Unknown,100.0,12.6,High,-0.01,Child,57.67,0.61,0.0787,0
T2-021487,Jessica Garcia,45.0,Female,Canada,Married,Healthcare,3,592018,148.93,F,Queenstown,Relocation,10,0,0,1,1,0.61,556,0.15,Unknown,74.1,33.6,High,0.02,Middle_Aged,148.93,0.83,0.1145,0
T2-021488,Richard Martinez,30.1,Female,France,Divorced,Tech,3,562967,184.91,F,Southampton,Business,10,0,2,3,0,0.25,582,0.26,Unknown,87.6,4.6,High,0.15,Adult,61.64,1.04,0.693,1
T2-021489,Elena Silva,18.1,Female,France,Divorced,Laborer,3,167067,154.76,F,Cherbourg,Business,6,1,1,3,0,0.05,630,0.36,Unknown,90.5,24.3,High,0.36,Adult,51.59,0.96,0.2602,0
T2-021490,Elena Martinez,14.5,Male,Canada,Single,Student,1,935112,1083.54,Unknown,Southampton,Leisure,5,0,0,1,1,0.04,694,0.74,Unknown,92.7,15.4,Medium,3.47,Teen,1083.54,0.36,0.4245,0
T2-021491,Fatima Gonzalez,42.4,Female,India,Married,Tech,3,732619,224.87,F,Southampton,Leisure,13,0,0,1,1,0.46,668,0.29,Mild Chronic,67.5,2.1,High,0.03,Middle_Aged,224.87,0.72,0.3714,1
T2-021492,Lars Sato,31.9,Female,UK,Married,Tech,2,769678,426.18,E,Queenstown,Leisure,3,0,1,2,0,0.53,886,0.39,Unknown,90.9,6.8,High,0.97,Adult,213.09,0.79,0.6867,1
T2-021493,Aarav O'Connor,30.0,Female,Brazil,Single,Education,2,139249,341.9,D,Queenstown,Business,10,1,0,2,0,0.63,689,0.65,Cardiovascular,52.5,53.3,High,0.37,Adult,170.95,0.58,0.3971,1
T2-021494,Yuki Martinez,83.9,Male,Germany,Single,Education,1,822431,931.5,B,Southampton,Relocation,10,0,1,2,0,0.72,315,0.86,Unknown,56.2,32.7,Medium,2.94,Senior,465.75,0.41,0.1133,0
T2-021495,Barbara Müller,71.5,Female,USA,Married,Unknown,2,393232,295.75,C,Southampton,Leisure,8,0,0,1,1,0.01,292,0.67,Unknown,67.2,29.9,High,0.66,Senior,295.75,0.41,0.093,0
T2-021496,Lars Wilson,30.2,Male,China,Single,Unknown,1,944069,1081.85,Unknown,Southampton,Leisure,4,1,3,5,0,0.12,594,0.71,Unknown,87.2,52.1,Medium,3.36,Adult,216.37,0.98,0.1202,0
T2-021497,James Hernandez,69.6,Female,France,Married,Education,3,462093,131.17,G,Southampton,Leisure,4,0,0,1,1,0.37,272,0.16,Unknown,62.7,33.2,High,0.23,Senior,131.17,0.82,0.1781,0
T2-021498,Joseph Silva,43.8,Female,Canada,Married,Engineering,2,357730,549.82,C,Queenstown,Family Visit,10,0,0,1,1,0.27,191,0.82,Unknown,70.9,10.7,High,1.05,Middle_Aged,549.82,0.29,0.7694,0
T2-021499,John Chen,26.1,Male,UK,Married,Student,3,157668,193.75,F,Cherbourg,Leisure,12,1,1,3,0,0.28,74,0.25,Unknown,77.7,72.5,Low,0.11,Adult,64.58,1.05,0.0498,0
T2-021500,Jennifer Williams,69.3,Female,China,Single,Engineering,3,847810,147.92,G,Cherbourg,Business,11,0,0,1,1,0.01,93,0.22,Mild Chronic,55.3,25.8,High,-0.19,Senior,147.92,0.77,0.0989,0
T2-021501,Susan Gonzalez,20.3,Male,Australia,Single,Tourism,3,970916,93.84,E,Cherbourg,Family Visit,9,1,0,2,0,0.44,672,0.39,Unknown,91.9,32.0,Low,0.08,Adult,46.92,0.79,0.249,0
T2-021502,Lars Wilson,50.7,Female,USA,Divorced,Business,2,525611,575.15,Unknown,Southampton,Leisure,11,0,1,2,0,0.01,978,0.57,Unknown,79.7,44.6,High,1.2,Middle_Aged,287.58,0.64,0.2656,0
T2-021503,Jennifer Rodriguez,19.2,Male,France,Married,Student,3,474474,143.22,Unknown,Southampton,Family Visit,12,0,3,4,0,0.57,634,0.47,Unknown,86.3,46.1,Low,0.04,Adult,35.8,1.02,0.014,0
T2-021504,James Brown,36.1,Male,USA,Single,Engineering,3,730994,144.38,Unknown,Cherbourg,Leisure,13,0,1,2,0,0.48,705,0.38,Unknown,82.1,6.7,Low,0.16,Middle_Aged,72.19,0.8,0.0499,0
T2-021505,Mateo Ivanov,43.0,Female,USA,Single,Engineering,3,542278,246.96,Unknown,Southampton,Family Visit,4,0,2,3,0,0.42,400,0.21,Unknown,68.1,20.1,High,0.57,Middle_Aged,82.32,1.08,0.1933,0
T2-021506,Jennifer Wilson,62.0,Female,UK,Married,Healthcare,3,908556,106.67,G,Southampton,Relocation,9,0,1,2,0,0.15,579,0.18,Unknown,78.4,20.6,High,0.58,Senior,53.34,0.96,0.3706,0
T2-021507,Linda Hernandez,17.5,Male,USA,Single,Student,3,185956,97.62,F,Southampton,Leisure,7,1,1,3,0,0.19,218,0.29,Unknown,87.0,35.5,Low,0.22,Teen,32.54,1.02,0.1939,0
T2-021508,Joseph Lopez,28.6,Female,USA,Single,Engineering,3,270822,121.97,E,Southampton,Relocation,4,0,0,1,1,0.03,212,0.39,Unknown,87.2,30.0,High,0.02,Adult,121.97,0.64,0.083,1
T2-021509,Susan Ali,60.2,Female,Japan,Married,Education,1,880403,1308.16,B,Cherbourg,Leisure,6,0,1,2,0,0.91,27,0.68,Asthma,66.2,17.6,High,3.45,Senior,654.08,0.56,0.477,1
T2-021510,Jessica Patel,15.4,Female,USA,Single,Student,3,400571,100.3,F,New York,Leisure,10,3,0,4,0,0.4,476,0.28,Unknown,89.1,15.0,High,-0.01,Teen,25.08,1.18,0.2496,0
T2-021511,Mateo Chen,35.7,Male,Brazil,Single,Healthcare,3,540107,98.84,G,Cherbourg,Family Visit,13,0,0,1,1,0.42,15,0.16,Cardiovascular,55.2,12.8,Low,0.11,Middle_Aged,98.84,0.82,0.0703,0
T2-021512,Lars Smith,40.4,Male,UK,Single,Business,3,209302,73.47,E,Cherbourg,Leisure,12,0,1,2,0,0.44,626,0.56,Unknown,79.8,8.4,Low,-0.1,Middle_Aged,36.74,0.65,0.2376,0
T2-021513,Jessica Chen,20.2,Female,UK,Divorced,Military,2,259091,354.07,D,Cherbourg,Leisure,9,0,0,1,1,0.52,930,0.39,Unknown,93.1,23.3,High,0.53,Adult,354.07,0.64,0.6929,1
T2-021514,Sofia Kim,45.9,Male,Australia,Widowed,Healthcare,3,457113,169.39,Unknown,Cherbourg,Leisure,3,1,0,2,0,0.18,359,0.22,Cardiovascular,51.3,36.6,Low,-0.05,Middle_Aged,84.7,0.92,0.0783,0
T2-021515,Elena Hernandez,43.1,Male,UK,Married,Military,2,351984,527.38,E,Southampton,Business,4,1,0,2,0,0.19,140,0.41,Unknown,75.1,7.6,Low,1.07,Middle_Aged,263.69,0.77,0.3408,1
T2-021516,James Johnson,27.9,Male,China,Divorced,Tech,3,292619,90.57,G,Southampton,Family Visit,3,0,0,1,1,0.19,610,0.04,Unknown,91.1,41.8,Low,0.17,Adult,90.57,0.92,0.0337,0
T2-021517,Patricia Chen,38.5,Female,USA,Widowed,Tourism,2,441603,376.87,E,Cherbourg,Family Visit,6,0,0,1,1,0.36,798,0.33,Mild Chronic,73.0,26.5,High,0.53,Middle_Aged,376.87,0.69,0.2565,0
T2-021518,Elena Chen,28.7,Male,France,Widowed,Education,2,169973,463.01,Unknown,Southampton,Family Visit,10,0,2,3,0,0.43,451,0.7,Unknown,84.6,20.1,Low,1.22,Adult,154.34,0.69,0.3774,0
T2-021519,Elizabeth Brown,7.7,Male,Germany,Single,Student,1,249561,1318.82,B,Southampton,Relocation,6,2,0,3,0,0.52,179,0.89,Unknown,92.9,20.0,High,4.23,Child,439.61,0.54,0.5736,1
T2-021520,Mateo Smith,6.8,Male,Brazil,Single,Student,3,355334,232.66,E,Queenstown,Family Visit,12,1,2,4,0,0.58,617,0.45,Mild Chronic,86.0,13.5,High,0.37,Child,58.16,1.04,0.2405,0
T2-021521,Aarav Hernandez,39.3,Female,France,Single,Education,3,679502,136.8,G,Southampton,Business,10,1,0,2,0,0.22,719,0.1,Unknown,76.4,22.7,High,0.32,Middle_Aged,68.4,1.02,0.0569,0
T2-021522,Mary Miller,14.6,Female,USA,Single,Student,2,313837,506.92,E,Queenstown,Leisure,6,0,1,2,0,0.07,483,0.6,Unknown,96.8,5.7,High,0.93,Teen,253.46,0.62,0.6509,1
T2-021523,Patricia Garcia,30.5,Male,France,Single,Tech,1,998018,2141.67,A,Southampton,Leisure,10,2,0,3,0,0.76,749,1.0,Mild Chronic,73.8,14.6,Medium,6.38,Adult,713.89,0.45,0.2145,0
T2-021524,Joseph Garcia,11.9,Male,Germany,Single,Student,1,838447,940.76,D,Southampton,Leisure,5,0,1,2,0,0.41,99,0.55,Unknown,93.5,60.3,High,2.66,Child,470.38,0.66,0.4443,0
T2-021525,Patricia Silva,16.8,Female,Germany,Single,Student,3,483511,167.78,E,Southampton,Leisure,9,2,0,3,0,0.53,316,0.48,Unknown,88.2,24.3,High,-0.02,Teen,55.93,0.87,0.6195,1
T2-021526,Jessica O'Connor,39.0,Male,Germany,Single,Business,3,646399,131.52,G,Cherbourg,Business,5,0,1,2,0,0.16,598,0.28,Asthma,60.6,13.1,Low,0.07,Middle_Aged,65.76,0.88,0.0464,0
T2-021527,Joseph Kim,28.9,Male,UK,Single,Tourism,3,562562,148.2,G,Southampton,Leisure,10,0,1,2,0,0.54,675,0.13,Unknown,80.8,50.4,Low,0.43,Adult,74.1,1.0,0.1244,1
T2-021528,Aarav Davis,22.6,Male,Germany,Married,Tech,3,173403,142.55,Unknown,Cherbourg,Leisure,12,4,1,6,0,0.86,312,0.57,Mobility Impaired,47.2,35.4,Low,0.41,Adult,23.76,1.24,0.2094,0
T2-021529,Michael Garcia,22.0,Female,Canada,Single,Healthcare,2,888406,585.15,C,Southampton,Leisure,10,0,0,1,1,0.05,74,0.59,Unknown,96.5,8.9,High,0.98,Adult,585.15,0.48,0.3282,0
T2-021530,Joseph Davis,12.4,Male,USA,Single,Student,3,759122,127.72,G,Southampton,Leisure,6,1,0,2,0,0.17,643,0.32,Cardiovascular,61.8,16.4,Low,-0.02,Teen,63.86,0.84,0.2196,0
T2-021531,Fatima Williams,47.8,Female,UK,Widowed,Tech,3,202251,156.27,E,Cherbourg,Business,6,0,0,1,1,0.04,973,0.53,Unknown,68.7,14.4,High,0.17,Middle_Aged,156.27,0.53,0.4519,1
T2-021532,David Brown,33.0,Male,USA,Married,Tech,3,263709,102.37,G,New York,Business,5,1,0,2,0,0.41,382,0.14,Unknown,82.3,3.8,Low,-0.01,Adult,51.18,0.99,0.1211,0
T2-021533,Sofia Garcia,15.1,Male,Australia,Single,Student,3,606576,205.76,F,New York,Business,3,1,1,3,0,0.75,450,0.36,Mild Chronic,81.2,19.7,Low,0.32,Teen,68.59,0.96,0.2659,0
T2-021534,Linda Patel,29.6,Male,Germany,Widowed,Student,3,676175,116.45,E,Queenstown,Leisure,9,0,0,1,1,0.03,751,0.56,Asthma,74.4,40.1,Low,0.2,Adult,116.45,0.5,0.0155,0
T2-021535,Elena Smith,36.8,Male,France,Divorced,Student,3,825744,112.76,G,Southampton,Leisure,4,0,0,1,1,0.11,528,0.16,Mild Chronic,78.4,8.1,Low,-0.44,Middle_Aged,112.76,0.82,0.2274,0
T2-021536,James Anderson,29.0,Female,France,Widowed,Unknown,2,881470,346.64,D,Southampton,Relocation,3,0,0,1,1,0.16,707,0.44,Unknown,83.7,12.3,High,0.84,Adult,346.64,0.6,0.4033,0
T2-021537,John Anderson,60.9,Male,USA,Married,Laborer,3,409308,116.22,G,Cherbourg,Leisure,5,0,1,2,0,0.12,921,0.25,Unknown,73.3,18.2,Low,0.28,Senior,58.11,0.9,0.0863,0
T2-021538,Robert Lopez,32.7,Female,UK,Widowed,Tourism,1,850228,1257.77,A,Southampton,Business,12,0,1,2,0,0.39,940,0.88,Unknown,84.9,23.9,High,3.69,Adult,628.88,0.4,0.9179,1
T2-021539,Aarav O'Connor,57.3,Non-Binary,Canada,Divorced,Education,3,803176,135.93,Unknown,New York,Leisure,13,2,1,4,0,0.37,140,0.31,Unknown,74.0,48.2,Low,0.47,Middle_Aged,33.98,1.15,0.0651,0
T2-021540,Barbara Garcia,30.6,Male,Brazil,Divorced,Student,2,954118,509.21,E,Southampton,Leisure,10,0,0,1,1,0.86,499,0.5,Asthma,72.7,19.3,Low,0.78,Adult,509.21,0.55,0.333,1
T2-021541,Barbara Silva,14.7,Female,Australia,Single,Student,3,466298,145.79,E,Southampton,Relocation,6,0,0,1,1,0.49,352,0.43,Asthma,80.5,27.1,High,0.26,Teen,145.79,0.61,0.6231,0
